actual_gesture,predicted_gesture,confidence
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,92.0
OPEN PALM,OPEN PALM,90.66666666666666
OPEN PALM,OPEN PALM,92.0
OPEN PALM,OPEN PALM,92.0
OPEN PALM,OPEN PALM,90.0
OPEN PALM,OPEN PALM,90.0
OPEN PALM,OPEN PALM,90.0
OPEN PALM,OPEN PALM,86.66666666666667
OPEN PALM,OPEN PALM,80.0
OPEN PALM,OPEN PALM,80.66666666666666
OPEN PALM,OPEN PALM,76.66666666666667
OPEN PALM,OPEN PALM,79.33333333333333
OPEN PALM,OPEN PALM,79.33333333333333
OPEN PALM,OPEN PALM,75.33333333333333
OPEN PALM,OPEN PALM,76.66666666666667
OPEN PALM,OPEN PALM,76.66666666666667
OPEN PALM,OPEN PALM,75.33333333333333
OPEN PALM,OPEN PALM,74.0
OPEN PALM,OPEN PALM,75.33333333333333
OPEN PALM,OPEN PALM,76.66666666666667
OPEN PALM,OPEN PALM,82.0
OPEN PALM,OPEN PALM,87.33333333333333
OPEN PALM,OPEN PALM,88.0
OPEN PALM,OPEN PALM,89.33333333333333
OPEN PALM,OPEN PALM,87.33333333333333
OPEN PALM,OPEN PALM,92.0
OPEN PALM,OPEN PALM,95.33333333333334
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,98.0
OPEN PALM,OPEN PALM,97.33333333333334
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,88.66666666666667
OPEN PALM,OPEN PALM,88.0
OPEN PALM,OPEN PALM,76.0
OPEN PALM,OPEN PALM,68.0
OPEN PALM,OPEN PALM,72.66666666666667
OPEN PALM,OPEN PALM,72.66666666666667
OPEN PALM,OPEN PALM,82.0
OPEN PALM,OPEN PALM,80.0
OPEN PALM,OPEN PALM,80.0
OPEN PALM,OPEN PALM,92.0
OPEN PALM,OPEN PALM,93.33333333333333
OPEN PALM,OPEN PALM,94.0
OPEN PALM,OPEN PALM,94.66666666666667
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,96.66666666666667
OPEN PALM,OPEN PALM,96.0
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,92.66666666666666
OPEN PALM,OPEN PALM,89.33333333333333
OPEN PALM,OPEN PALM,86.66666666666667
OPEN PALM,OPEN PALM,84.66666666666667
OPEN PALM,OPEN PALM,83.33333333333334
OPEN PALM,OPEN PALM,85.33333333333334
OPEN PALM,OPEN PALM,84.0
OPEN PALM,OPEN PALM,84.66666666666667
OPEN PALM,OPEN PALM,84.66666666666667
OPEN PALM,OPEN PALM,86.0
